Retailer code,Product number,Order method code,Date,Quantity,Unit price,Unit sale price
1289,144180,5,2016/7/18,21,188,188
1289,149140,5,2016/7/18,68,62.65,62.65
1366,129130,5,2017/5/15,45,220,220
1366,145170,5,2017/5/15,36,270.2,270.2
1279,124190,5,2017/1/17,18,43.85,43.85
1279,136140,5,2017/1/17,19,44.9,44.9
1279,147160,5,2017/1/17,28,30.4,30.4
1245,129110,5,2017/2/6,3,220,220
1245,144180,5,2017/2/6,4,188,188
1217,125110,2,2016/3/7,69,73,73
1217,127110,2,2016/3/7,238,20.15,20.15
1217,129130,2,2016/3/7,22,220,220
1217,132170,2,2016/3/7,59,85,85
1217,144180,2,2016/3/7,28,188,188
1217,145170,2,2016/3/7,19,270.2,270.2
1217,147120,2,2016/3/7,174,30.7,30.7
1217,147180,2,2016/3/7,165,30.4,30.4
1401,144180,5,2018/3/12,42,200,200
1268,125110,5,2015/11/9,57,70,70
1268,126110,5,2015/11/9,92,42.25,42.25
1268,126140,5,2015/11/9,94,43.85,43.85
1268,127110,5,2015/11/9,196,20.15,20.15
1268,128150,5,2015/11/9,63,65,65
1268,132120,5,2015/11/9,54,80,80
1268,136140,5,2015/11/9,91,44.9,44.9
1268,145170,5,2015/11/9,15,260,260
1268,147110,5,2015/11/9,128,30.7,30.7
1268,147160,5,2015/11/9,133,30.4,30.4
1621,128140,5,2016/10/17,13,65,65
1200,127110,5,2016/11/7,53,20.15,20.15
1259,126140,5,2017/5/15,108,43.85,43.85
1259,129180,5,2017/5/15,18,249,249
1259,135130,5,2017/5/15,36,167.9,167.9
1259,151110,5,2017/5/15,39,145,145
1289,124190,5,2015/2/16,40,42.25,42.25
1289,130130,5,2015/2/16,11,172,172
1289,144170,5,2015/2/16,10,180,180
1289,145130,5,2015/2/16,7,260,260
1289,145170,5,2015/2/16,6,260,260
1279,128140,5,2018/2/6,55,67.6,67.6
1279,132150,5,2018/2/6,49,91.75,91.75
1279,136140,5,2018/2/6,87,47.3,47.3
1279,144180,5,2018/2/6,22,200,200
1279,145170,5,2018/2/6,13,270.2,270.2
1279,148110,5,2018/2/6,107,42.75,42.75
1503,144180,5,2015/1/12,41,188,188
1503,145170,5,2015/1/12,30,260,260
1672,144180,5,2015/11/8,29,188,188
1247,127130,5,2017/9/19,130,21.25,21.25
1247,128130,5,2017/9/19,54,67.5,67.5
1247,128140,5,2017/9/19,37,67.6,67.6
1247,128200,5,2017/9/19,52,72.8,72.8
1247,129180,5,2017/9/19,12,249,249
1247,148120,5,2017/9/19,66,42.75,42.75
1247,149130,5,2017/9/19,46,62.65,62.65
1247,151110,5,2017/9/19,19,145,145
1247,152110,5,2017/9/19,9,358,358
1423,126140,5,2016/10/10,109,43.85,43.85
1423,143110,5,2016/10/10,97,50.3,50.3
1423,144180,5,2016/10/10,26,188,188
1718,144180,5,2017/12/12,44,200,200
1235,128140,5,2016/10/18,124,65,65
1235,144180,5,2016/10/18,39,188,188
1205,147180,2,2015/7/20,162,30.4,30.4
1205,148120,2,2015/7/20,122,40.5,40.5
1626,144180,5,2017/12/12,59,200,200
1258,124190,5,2017/8/16,112,43.85,43.85
1258,127130,5,2017/8/16,278,20.15,20.15
1258,128130,5,2017/8/16,84,67.5,67.5
1258,128140,5,2017/8/16,88,65,65
1258,128200,5,2017/8/16,115,70,70
1258,132120,5,2017/8/16,71,80,80
1258,132170,5,2017/8/16,58,85,85
1258,135120,5,2017/8/16,24,172.8,172.8
1258,135130,5,2017/8/16,29,167.9,167.9
1258,148120,5,2017/8/16,122,40.5,40.5
1261,128130,5,2018/2/6,4,67.5,67.5
1261,128140,5,2018/2/6,4,67.6,67.6
1261,128200,5,2018/2/6,4,72.8,72.8
1261,129130,5,2018/2/6,1,229.6,229.6
1261,129150,5,2018/2/6,1,254,254
1261,144180,5,2018/2/6,1,200,200
1261,152110,5,2018/2/6,1,358,358
1137,131110,5,2017/4/18,21,40.2,40.2
1137,143110,5,2017/4/18,17,50.3,50.3
1137,144120,5,2017/4/18,5,188,188
1137,144150,5,2017/4/18,4,200,200
1621,128140,5,2016/6/14,23,65,65
1621,128210,5,2016/6/14,24,62.65,62.65
1621,129150,5,2016/6/14,6,240,240
1621,132170,5,2016/6/14,20,85,85
1621,144180,5,2016/6/14,9,188,188
1621,147110,5,2016/6/14,44,30.7,30.7
1621,147170,5,2016/6/14,51,30.4,30.4
